draw_date,n1,n2,n3,n4,n5,n6,special_no
2010/02/24,1,22,31,37,42,43,
2010/02/24,1,9,24,35,46,47,
2010/02/25,11,12,25,37,42,48,
2010/02/25,23,24,31,34,44,45,
2010/02/25,6,8,11,15,27,37,
2010/02/26,4,10,16,20,31,38,
2010/02/26,4,14,17,26,41,49,
2010/02/26,3,5,12,22,25,47,
2010/02/27,2,8,15,26,37,47,
2010/02/27,3,13,22,29,39,49,
2010/02/27,6,19,21,25,35,49,
2010/02/28,8,13,25,46,47,48,
2010/02/28,6,22,28,36,42,44,
2010/02/28,4,8,10,11,31,40,
2010/03/01,21,24,30,32,36,39,
2010/03/01,5,9,16,28,34,46,
2010/03/01,7,10,12,22,29,45,
2010/03/02,14,19,30,34,46,47,
2010/03/02,7,14,15,21,28,31,
2010/03/02,7,15,23,27,37,40,
2010/03/03,3,17,26,30,32,39,
2010/03/03,3,6,19,27,39,41,
2010/03/03,14,16,20,21,32,37,
2010/03/04,3,6,13,14,15,16,
2010/03/04,30,31,35,44,45,49,
2010/03/04,1,6,23,24,37,42,
2010/03/05,2,4,19,20,42,44,
2010/03/05,10,17,24,28,30,47,
2010/03/05,1,2,10,17,20,32,
2010/03/06,22,24,27,32,36,46,
2010/03/06,1,13,20,25,28,48,
2010/03/06,3,11,13,19,32,33,
2010/03/07,1,3,5,30,32,33,
2010/03/07,2,8,15,26,27,42,
2010/03/07,2,21,27,30,34,45,
2010/03/08,6,13,19,35,45,48,
2010/03/08,2,12,17,31,48,49,
2010/03/08,8,12,26,28,30,41,
2010/03/09,15,18,27,29,41,43,
2010/03/09,4,6,11,12,35,41,
2010/03/09,15,18,26,29,30,32,
2010/03/10,1,6,17,21,36,38,
2010/03/10,8,12,26,33,41,42,
2010/03/10,4,10,29,32,38,44,
2010/03/11,2,3,12,21,47,48,
2010/03/11,17,24,45,46,47,49,
2010/03/11,2,11,19,22,28,40,
2010/03/12,1,4,5,25,40,41,
2010/03/12,2,3,9,18,27,29,
2010/03/12,3,10,14,39,41,47,
2010/03/13,7,18,21,35,43,44,
2010/03/13,12,14,17,28,37,48,
2010/03/13,2,8,15,26,36,47,
2010/03/14,1,4,21,26,34,37,
2010/03/14,6,13,14,19,22,48,
2010/03/14,3,12,17,19,38,39,
2010/03/15,5,17,32,38,47,49,
2010/03/15,15,17,22,34,42,44,
2010/03/15,18,25,27,35,42,45,
2010/03/16,22,25,32,36,37,46,
2010/03/16,11,16,32,34,37,49,
2010/03/16,7,9,23,26,46,47,
2010/03/17,4,9,19,31,41,42,
2010/03/17,1,2,20,29,32,41,
2010/03/17,3,5,26,28,33,39,
2010/03/18,13,18,31,36,37,45,
2010/03/18,5,6,19,28,34,35,
2010/03/18,1,13,31,35,44,46,
2010/03/19,13,22,34,38,42,49,
2010/03/19,11,22,31,42,44,48,
2010/03/19,4,10,33,43,45,49,
2010/03/20,3,11,12,23,41,42,
2010/03/20,3,5,6,35,36,41,
2010/03/20,2,18,21,22,41,43,
2010/03/21,9,12,13,22,33,49,
2010/03/21,8,15,25,28,35,46,
2010/03/21,5,6,7,13,17,42,
2010/03/22,1,8,18,24,37,38,
2010/03/22,4,6,19,25,39,43,
2010/03/22,5,14,17,26,27,46,
2010/03/23,6,13,17,23,24,40,
2010/03/23,14,21,29,35,40,42,
2010/03/23,10,16,18,27,37,48,
2010/03/24,6,16,21,22,29,48,
2010/03/24,7,10,16,26,29,40,
2010/03/24,8,17,19,28,38,47,
2010/03/25,6,11,18,31,36,46,
2010/03/25,14,21,27,44,45,47,
2010/03/25,15,19,26,30,40,42,
2010/03/26,5,26,28,34,35,42,
2010/03/26,21,32,34,35,41,42,
2010/03/26,6,9,13,17,36,37,
2010/03/27,9,14,16,20,33,44,
2010/03/27,19,22,23,38,42,43,
2010/03/27,12,14,15,19,32,37,
2010/03/28,1,6,12,35,43,48,
2010/03/28,6,7,31,35,45,48,
2010/03/28,1,2,8,15,27,42,
2010/03/29,11,15,27,33,40,46,
2010/03/29,11,13,21,24,40,49,
2010/03/29,4,6,19,37,40,47,
2010/03/30,7,10,19,23,30,48,
2010/03/30,8,10,19,33,34,36,
2010/03/30,3,11,13,16,29,43,
2010/03/31,2,10,22,32,34,36,
2010/03/31,5,8,15,36,38,49,
2010/03/31,2,5,11,30,37,41,
2010/04/01,2,9,21,29,37,47,
2010/04/01,2,8,17,19,25,40,
2010/04/01,7,8,12,17,28,38,
2010/04/02,8,15,27,33,39,40,
2010/04/02,6,15,21,35,37,40,
2010/04/02,5,15,21,22,26,40,
2010/04/03,31,33,42,44,47,49,
2010/04/03,1,2,6,19,37,42,
2010/04/03,18,22,29,34,39,46,
2010/04/04,4,14,17,39,41,46,
2010/04/04,3,13,24,27,30,40,
2010/04/04,5,13,18,25,33,43,
2010/04/05,1,13,17,35,42,48,
2010/04/05,4,15,20,24,26,36,
2010/04/05,2,13,15,24,38,49,
2010/04/06,3,11,25,32,36,41,
2010/04/06,14,15,19,38,46,47,
2010/04/06,7,11,24,30,32,42,
2010/04/07,18,23,31,36,47,48,
2010/04/07,12,24,31,33,47,49,
2010/04/07,3,5,8,24,39,45,
2010/04/08,8,9,11,21,23,44,
2010/04/08,3,6,15,16,20,38,
2010/04/08,2,9,24,35,41,48,
2010/04/09,6,7,11,17,33,36,
2010/04/09,2,6,17,29,36,42,
2010/04/09,16,33,38,39,42,48,
2010/04/10,9,14,24,26,29,43,
2010/04/10,7,13,14,17,22,44,
2010/04/10,10,11,22,39,41,48,
2010/04/11,9,17,25,27,31,42,
2010/04/11,13,16,18,24,46,49,
2010/04/11,1,10,18,25,28,38,
2010/04/12,1,8,11,19,27,30,
2010/04/12,9,15,24,25,38,49,
2010/04/12,11,12,15,24,25,43,
2010/04/13,12,14,21,35,42,48,
2010/04/13,1,2,7,14,37,47,
2010/04/13,2,3,19,24,25,28,
2010/04/14,10,12,21,24,25,33,
2010/04/14,2,12,16,18,29,33,
2010/04/14,2,5,7,21,22,48,
2010/04/15,19,26,27,29,35,43,
2010/04/15,11,12,28,32,36,46,
2010/04/15,5,17,18,31,34,42,
2010/04/16,1,2,17,30,33,36,
2010/04/16,3,23,30,31,36,48,
2010/04/16,9,11,18,20,33,37,
2010/04/17,19,27,29,35,44,47,
2010/04/17,3,8,29,34,35,37,
2010/04/17,7,9,10,24,30,31,
2010/04/18,4,16,17,20,24,31,
2010/04/18,5,11,27,31,44,45,
2010/04/18,12,26,27,30,33,39,
2010/04/19,1,7,9,25,31,40,
2010/04/19,3,12,19,26,40,46,
2010/04/19,5,15,17,22,25,39,
2010/04/20,1,12,30,33,46,48,
2010/04/20,4,25,26,30,42,46,
2010/04/20,31,32,39,41,45,49,
2010/04/21,1,31,33,35,44,48,
2010/04/21,8,10,13,26,30,32,
2010/04/21,2,4,15,17,26,35,
2010/04/22,4,31,33,35,46,47,
2010/04/22,11,16,20,26,30,32,
2010/04/22,1,10,18,33,43,49,
2010/04/23,1,8,12,15,25,46,
2010/04/23,2,11,15,18,25,36,
2010/04/23,5,7,21,26,43,47,
2010/04/24,5,7,12,17,34,40,
2010/04/24,3,6,9,16,18,48,
2010/04/24,19,20,22,36,38,42,
2010/04/25,9,11,17,23,26,31,
2010/04/25,1,7,14,17,31,41,
2010/04/25,4,29,33,39,45,46,
2010/04/26,5,14,36,41,46,49,
2010/04/26,10,11,12,24,33,37,
2010/04/26,5,12,15,28,41,49,
2010/04/27,8,9,11,18,19,39,
2010/04/27,5,17,20,37,40,48,
2010/04/27,1,2,4,23,33,48,
2010/04/28,15,20,35,40,43,45,
2010/04/28,3,18,19,42,43,49,
2010/04/28,1,4,23,31,38,46,
2010/04/29,8,16,17,18,36,38,
2010/04/29,4,5,6,12,20,44,
2010/04/29,15,17,29,30,34,35,
2010/04/30,6,14,18,19,29,38,
2010/04/30,11,14,20,25,30,43,
2010/04/30,5,6,7,26,32,33,
2010/05/01,2,28,32,34,39,43,
2010/05/01,1,8,20,28,37,48,
2010/05/01,12,16,33,39,40,42,
2010/05/02,1,2,7,21,31,40,
2010/05/02,1,25,26,29,35,38,
2010/05/02,4,6,25,36,39,49,
2010/05/03,2,3,8,25,41,45,
2010/05/03,7,28,32,36,37,46,
2010/05/03,1,3,11,17,36,40,
2010/05/04,4,7,11,16,29,48,
2010/05/04,6,12,19,20,28,36,
2010/05/04,1,3,20,24,40,44,
2010/05/05,7,29,35,39,40,49,
2010/05/05,6,19,25,34,37,40,
2010/05/05,1,12,14,15,18,49,
2010/05/06,4,25,29,31,35,44,
2010/05/06,6,7,16,26,29,36,
2010/05/06,2,6,27,30,35,48,
2010/05/07,12,16,20,30,39,47,
2010/05/07,2,6,9,16,18,26,
2010/05/07,4,12,33,40,43,47,
2010/05/08,6,9,11,12,16,24,
2010/05/08,6,8,26,27,40,44,
2010/05/08,13,35,38,41,43,45,
2010/05/09,5,6,17,19,34,40,
2010/05/09,6,10,18,31,36,37,
2010/05/09,4,5,22,37,44,47,
2010/05/10,1,3,6,26,43,44,
2010/05/10,13,14,21,23,26,49,
2010/05/10,3,4,9,20,33,41,
2010/05/11,9,14,19,28,44,47,
2010/05/11,5,14,20,22,24,28,
2010/05/11,9,10,11,18,42,48,
2010/05/12,6,10,17,25,32,47,
2010/05/12,1,10,11,41,44,49,
2010/05/12,1,6,16,32,39,40,
2010/05/13,1,5,13,17,39,40,
2010/05/13,4,10,26,29,36,39,
2010/05/13,2,17,19,45,46,48,
2010/05/14,1,8,16,17,24,26,
2010/05/14,5,8,40,41,44,46,
2010/05/14,12,16,21,22,44,49,
2010/05/15,2,24,32,41,42,44,
2010/05/15,5,18,19,28,32,41,
2010/05/15,2,9,11,29,34,45,
2010/05/16,8,10,25,38,42,49,
2010/05/16,2,6,8,25,41,48,
2010/05/16,13,14,17,19,22,47,
2010/05/17,4,15,27,28,29,39,
2010/05/17,4,8,34,36,40,45,
2010/05/17,5,8,17,31,37,45,
2010/05/18,4,6,11,37,38,41,
2010/05/18,6,15,28,41,43,47,
2010/05/18,9,11,13,21,24,36,
2010/05/19,6,16,17,24,34,44,
2010/05/19,5,14,18,20,28,47,
2010/05/19,3,18,23,29,32,48,
2010/05/20,22,26,30,31,41,48,
2010/05/20,3,4,10,24,25,49,
2010/05/20,9,10,14,23,45,46,
2010/05/21,2,8,32,34,36,47,
2010/05/21,11,20,24,27,35,42,
2010/05/21,8,13,14,17,26,36,
2010/05/22,6,8,18,38,41,45,
2010/05/22,9,18,25,31,40,47,
2010/05/22,8,14,16,18,27,38,
2010/05/23,2,14,25,38,42,46,
2010/05/23,1,6,24,29,31,49,
2010/05/23,26,27,29,30,31,39,
2010/05/24,1,4,13,24,46,47,
2010/05/24,14,16,20,27,28,47,
2010/05/24,9,25,30,31,39,45,
2010/05/25,12,15,16,32,42,43,
2010/05/25,21,22,23,29,46,48,
2010/05/25,2,17,25,30,39,46,
2010/05/26,12,20,29,36,40,45,
2010/05/26,16,18,26,31,46,48,
2010/05/26,6,21,25,38,39,49,
2010/05/27,17,24,33,42,45,46,
2010/05/27,16,27,34,37,41,44,
2010/05/27,6,12,24,30,45,47,
2010/05/28,4,7,15,26,38,46,
2010/05/28,1,3,24,28,35,38,
2010/05/28,10,33,37,38,45,49,
2010/05/29,21,23,24,33,34,49,
2010/05/29,3,16,23,25,30,38,
2010/05/29,5,22,27,36,37,38,
2010/05/30,1,16,30,32,45,47,
2010/05/30,2,3,10,29,30,32,
2010/05/30,3,14,15,32,42,46,
2010/05/31,4,6,7,10,17,30,
2010/05/31,7,11,21,27,28,42,
2010/05/31,1,26,36,42,46,49,
2010/06/01,4,6,16,18,32,42,
2010/06/01,16,20,27,42,43,47,
2010/06/01,1,5,6,34,41,45,
2010/06/02,1,3,15,17,32,45,
2010/06/02,3,8,13,16,20,21,
2010/06/02,1,6,13,17,29,37,
2010/06/03,3,23,32,39,40,43,
2010/06/03,2,14,19,20,24,49,
2010/06/03,5,7,24,28,31,38,
2010/06/04,11,25,28,29,40,46,
2010/06/04,1,2,26,39,46,48,
2010/06/04,4,9,14,19,23,37,
2010/06/05,1,4,5,11,18,43,
2010/06/05,1,11,36,41,44,46,
2010/06/05,7,16,33,39,42,49,
2010/06/06,7,33,40,44,48,49,
2010/06/06,5,23,29,39,40,49,
2010/06/06,4,10,15,34,37,38,
2010/06/07,6,14,19,21,43,44,
2010/06/07,1,3,5,23,37,47,
2010/06/07,25,28,29,35,43,44,
2010/06/08,2,17,29,41,42,47,
2010/06/08,2,28,30,41,47,49,
2010/06/08,18,19,21,22,24,45,
2010/06/09,14,15,25,40,47,49,
2010/06/09,2,20,21,25,28,40,
2010/06/09,4,8,26,29,37,40,
2010/06/10,4,11,13,35,46,48,
2010/06/10,2,4,20,28,30,40,
2010/06/10,18,29,37,40,44,45,
2010/06/11,3,26,28,31,34,46,
2010/06/11,1,7,17,18,25,33,
2010/06/11,7,10,14,21,32,45,
2010/06/12,4,29,32,34,37,46,
2010/06/12,23,33,34,40,44,47,
2010/06/12,8,20,21,33,36,42,
2010/06/13,4,8,14,25,43,44,
2010/06/13,5,13,27,29,36,38,
2010/06/13,4,8,17,26,31,34,
2010/06/14,7,20,23,38,40,43,
2010/06/14,13,20,26,27,32,48,
2010/06/14,12,16,29,32,35,48,
2010/06/15,1,10,13,25,31,46,
2010/06/15,9,18,34,35,36,48,
2010/06/15,7,8,16,19,36,38,
2010/06/16,5,9,14,20,28,39,
2010/06/16,2,4,22,33,35,43,
2010/06/16,10,11,27,31,38,46,
2010/06/17,10,11,18,26,38,43,
2010/06/17,3,11,13,34,38,49,
2010/06/17,11,12,15,33,45,49,
2010/06/18,23,29,34,36,45,47,
2010/06/18,10,21,30,35,44,48,
2010/06/18,18,26,30,39,43,46,
2010/06/19,10,15,18,22,23,34,
2010/06/19,15,24,33,38,40,45,
2010/06/19,3,10,22,31,39,41,
2010/06/20,2,22,25,29,34,39,
2010/06/20,2,12,13,21,40,46,
2010/06/20,7,10,16,17,30,46,
2010/06/21,6,11,12,34,37,40,
2010/06/21,5,9,10,31,36,45,
2010/06/21,3,5,15,21,25,41,
2010/06/22,10,16,29,33,40,47,
2010/06/22,5,11,27,35,42,49,
2010/06/22,22,33,35,36,42,44,
2010/06/23,5,8,27,29,34,38,
2010/06/23,4,13,24,31,34,36,
2010/06/23,18,20,28,30,33,38,
2010/06/24,7,8,11,19,26,31,
2010/06/24,25,26,37,39,43,44,
2010/06/24,3,6,11,18,30,45,
2010/06/25,6,15,28,33,34,45,
2010/06/25,4,15,16,31,45,49,
2010/06/25,1,2,14,15,19,39,
2010/06/26,1,6,21,35,36,47,
2010/06/26,8,12,20,26,28,42,
2010/06/26,7,22,33,34,41,44,
2010/06/27,4,11,14,16,31,37,
2010/06/27,1,3,15,16,34,43,
2010/06/27,1,5,42,46,47,48,
2010/06/28,2,8,36,38,43,44,
2010/06/28,11,13,16,33,34,42,
2010/06/28,8,11,12,28,30,46,
2010/06/29,3,8,17,20,46,47,
2010/06/29,11,14,15,16,33,40,
2010/06/29,12,13,14,27,32,47,
2010/06/30,7,23,25,39,44,46,
2010/06/30,16,32,34,36,45,46,
2010/06/30,3,17,23,24,36,48,
2010/07/01,3,11,17,30,32,36,
2010/07/01,3,11,15,18,22,31,
2010/07/01,8,14,28,37,40,46,
2010/07/02,2,11,20,26,38,39,
2010/07/02,3,4,16,19,31,43,
2010/07/02,9,13,20,29,40,46,
2010/07/03,2,4,5,22,36,49,
2010/07/03,2,14,17,26,41,49,
2010/07/03,9,15,29,39,44,47,
2010/07/04,15,20,30,33,42,45,
2010/07/04,6,10,22,39,41,49,
2010/07/04,5,7,25,34,38,48,
2010/07/05,3,17,27,29,38,46,
2010/07/05,23,32,38,43,44,46,
2010/07/05,20,24,28,31,47,49,
2010/07/06,1,12,16,25,37,40,
2010/07/06,5,22,32,40,44,47,
2010/07/06,7,18,26,40,43,46,
2010/07/07,2,26,35,39,43,48,
2010/07/07,8,11,20,32,43,47,
2010/07/07,1,12,20,24,26,45,
2010/07/08,7,9,12,16,39,47,
2010/07/08,4,11,15,26,28,47,
2010/07/08,4,11,19,27,34,44,
2010/07/09,8,13,33,43,46,47,
2010/07/09,5,8,24,25,31,45,
2010/07/09,2,5,6,8,46,48,
2010/07/10,6,10,12,15,25,38,
2010/07/10,4,5,19,20,32,47,
2010/07/10,2,5,14,22,26,44,
2010/07/11,4,17,23,32,35,42,
2010/07/11,11,29,33,34,47,48,
2010/07/11,3,11,13,16,17,27,
2010/07/12,8,10,19,26,32,43,
2010/07/12,8,13,21,25,33,41,
2010/07/12,1,7,10,12,20,34,
2010/07/13,15,23,28,39,42,45,
2010/07/13,28,33,39,40,43,47,
2010/07/13,3,25,28,30,35,36,
2010/07/14,5,7,11,30,31,36,
2010/07/14,3,5,13,14,24,34,
2010/07/14,1,5,15,31,46,49,
2010/07/15,2,11,14,22,24,26,
2010/07/15,11,30,34,36,40,44,
2010/07/15,3,5,10,12,29,36,
2010/07/16,1,9,21,28,35,49,
2010/07/16,11,20,24,37,41,46,
2010/07/16,6,8,16,26,33,41,
2010/07/17,12,20,27,33,36,39,
2010/07/17,9,10,31,33,42,48,
2010/07/17,11,21,31,33,34,46,
2010/07/18,1,5,31,34,43,46,
2010/07/18,4,6,8,10,16,46,
2010/07/18,1,18,21,32,38,42,
2010/07/19,1,13,19,30,33,37,
2010/07/19,1,19,20,24,39,45,
2010/07/19,7,11,16,19,42,49,
2010/07/20,1,2,13,15,38,42,
2010/07/20,2,23,25,26,43,47,
2010/07/20,1,4,9,33,35,40,
2010/07/21,16,24,26,31,33,48,
2010/07/21,1,25,33,42,44,47,
2010/07/21,2,16,17,18,24,35,
2010/07/22,4,22,33,36,40,45,
2010/07/22,4,8,10,14,22,24,
2010/07/22,1,8,10,13,17,47,
2010/07/23,4,5,9,12,38,43,
2010/07/23,2,5,9,21,22,47,
2010/07/23,1,6,15,23,28,45,
2010/07/24,4,7,22,31,36,49,
2010/07/24,1,13,16,28,35,46,
2010/07/24,5,8,10,21,39,43,
2010/07/25,24,28,30,41,44,48,
2010/07/25,1,5,7,28,46,48,
2010/07/25,5,19,20,26,41,44,
2010/07/26,5,14,18,19,25,33,
2010/07/26,1,3,10,20,28,32,
2010/07/26,4,10,29,33,45,46,
2010/07/27,2,3,24,28,45,49,
2010/07/27,8,11,15,33,41,47,
2010/07/27,30,35,39,41,45,46,
2010/07/28,13,14,19,35,37,40,
2010/07/28,1,4,5,15,23,39,
2010/07/28,3,8,23,25,40,41,
2010/07/29,9,15,19,25,28,35,
2010/07/29,6,11,24,29,35,47,
2010/07/29,17,31,32,38,44,46,
2010/07/30,2,6,11,27,30,34,
2010/07/30,12,16,25,28,35,38,
2010/07/30,11,16,28,29,42,45,
2010/07/31,4,25,26,29,35,46,
2010/07/31,8,22,23,32,37,44,
2010/07/31,13,25,30,32,38,49,
2010/08/01,1,11,23,30,36,46,
2010/08/01,1,21,27,30,33,39,
2010/08/01,4,19,21,26,28,48,
2010/08/02,21,22,30,41,45,47,
2010/08/02,2,13,36,39,41,49,
2010/08/02,3,20,25,38,42,46,
2010/08/03,2,10,26,29,41,42,
2010/08/03,3,10,13,17,24,31,
2010/08/03,5,10,13,36,39,49,
2010/08/04,3,10,20,21,38,44,
2010/08/04,4,8,16,25,28,44,
2010/08/04,6,20,21,23,31,40,
2010/08/05,1,11,13,16,20,49,
2010/08/05,2,5,11,12,25,43,
2010/08/05,12,16,18,27,37,39,
2010/08/06,14,27,36,38,39,42,
2010/08/06,11,21,22,24,48,49,
2010/08/06,25,29,33,39,41,43,
2010/08/07,5,18,35,41,43,45,
2010/08/07,10,25,34,36,40,42,
2010/08/07,3,10,32,34,44,47,
2010/08/08,2,3,11,12,35,41,
2010/08/08,4,6,23,33,35,42,
2010/08/08,11,16,21,36,39,41,
2010/08/09,8,23,33,37,42,49,
2010/08/09,3,35,42,45,48,49,
2010/08/09,1,16,19,24,27,39,
2010/08/10,5,21,26,33,40,44,
2010/08/10,2,9,15,32,34,44,
2010/08/10,8,16,29,37,46,48,
2010/08/11,7,11,25,39,41,42,
2010/08/11,5,7,11,23,33,35,
2010/08/11,20,23,30,34,43,48,
2010/08/12,1,10,13,16,39,48,
2010/08/12,9,14,24,26,31,36,
2010/08/12,19,26,40,42,46,47,
2010/08/13,3,9,17,31,46,48,
2010/08/13,10,17,19,37,38,48,
2010/08/13,17,25,29,30,42,49,
2010/08/14,14,16,31,32,34,37,
2010/08/14,5,8,15,16,17,42,
2010/08/14,1,10,12,15,46,48,
2010/08/15,1,8,14,16,37,44,
2010/08/15,12,16,18,24,40,49,
2010/08/15,4,5,19,42,45,46,
2010/08/16,4,9,11,16,34,47,
2010/08/16,15,19,25,31,39,47,
2010/08/16,9,22,32,39,43,44,
2010/08/17,21,22,27,32,38,45,
2010/08/17,17,29,33,36,45,46,
2010/08/17,11,20,27,38,42,43,
2010/08/18,4,10,28,30,45,48,
2010/08/18,14,16,18,44,46,49,
2010/08/18,12,16,18,23,29,48,
2010/08/19,6,20,30,35,47,48,
2010/08/19,5,17,27,31,42,49,
2010/08/19,2,3,21,40,45,46,
2010/08/20,25,32,33,42,43,48,
2010/08/20,11,12,20,31,36,40,
2010/08/20,2,8,17,23,28,39,
2010/08/21,4,6,14,16,22,30,
