field,current_value,next_value,current_date,next_date
n1,3,6,2008-03-06,2008-03-07
n1,6,13,2008-03-07,2008-03-10
n1,13,4,2008-03-10,2008-03-11
n1,4,9,2008-03-11,2008-03-12
n1,9,1,2008-03-12,2008-03-13
n1,1,2,2008-03-13,2008-03-14
n1,2,2,2008-03-14,2008-03-17
n1,2,10,2008-03-17,2008-03-18
n1,10,1,2008-03-18,2008-03-19
n1,1,3,2008-03-19,2008-03-20
n1,3,4,2008-03-20,2008-03-21
n1,4,2,2008-03-21,2008-03-24
n1,2,1,2008-03-24,2008-03-25
n1,1,9,2008-03-25,2008-03-26
n1,9,14,2008-03-26,2008-03-27
n1,14,7,2008-03-27,2008-03-28
n1,7,9,2008-03-28,2008-03-31
n1,9,6,2008-03-31,2008-04-01
n1,6,4,2008-04-01,2008-04-02
n1,4,2,2008-04-02,2008-04-03
n1,2,10,2008-04-03,2008-04-04
n1,10,6,2008-04-04,2008-04-07
n1,6,7,2008-04-07,2008-04-08
n1,7,9,2008-04-08,2008-04-09
n1,9,5,2008-04-09,2008-04-10
n1,5,5,2008-04-10,2008-04-11
n1,5,2,2008-04-11,2008-04-14
n1,2,6,2008-04-14,2008-04-15
n1,6,7,2008-04-15,2008-04-16
n1,7,5,2008-04-16,2008-04-17
n1,5,11,2008-04-17,2008-04-18
n1,11,8,2008-04-18,2008-04-21
n1,8,3,2008-04-21,2008-04-22
n1,3,4,2008-04-22,2008-04-23
n1,4,3,2008-04-23,2008-04-24
n1,3,4,2008-04-24,2008-04-25
n1,4,2,2008-04-25,2008-04-28
n1,2,4,2008-04-28,2008-04-29
n1,4,10,2008-04-29,2008-04-30
n1,10,5,2008-04-30,2008-05-01
n1,5,1,2008-05-01,2008-05-02
n1,1,16,2008-05-02,2008-05-05
n1,16,8,2008-05-05,2008-05-06
n1,8,4,2008-05-06,2008-05-07
n1,4,23,2008-05-07,2008-05-08
n1,23,5,2008-05-08,2008-05-09
n1,5,5,2008-05-09,2008-05-12
n1,5,6,2008-05-12,2008-05-13
n1,6,4,2008-05-13,2008-05-14
n1,4,11,2008-05-14,2008-05-15
n1,11,13,2008-05-15,2008-05-16
n1,13,10,2008-05-16,2008-05-19
n1,10,4,2008-05-19,2008-05-20
n1,4,8,2008-05-20,2008-05-21
n1,8,11,2008-05-21,2008-05-22
n1,11,8,2008-05-22,2008-05-23
n1,8,2,2008-05-23,2008-05-26
n1,2,30,2008-05-26,2008-05-27
n1,30,1,2008-05-27,2008-05-28
n1,1,6,2008-05-28,2008-05-29
n1,6,16,2008-05-29,2008-05-30
n1,16,2,2008-05-30,2008-06-02
n1,2,6,2008-06-02,2008-06-03
n1,6,19,2008-06-03,2008-06-04
n1,19,4,2008-06-04,2008-06-05
n1,4,7,2008-06-05,2008-06-06
n1,7,7,2008-06-06,2008-06-09
n1,7,3,2008-06-09,2008-06-10
n1,3,7,2008-06-10,2008-06-11
n1,7,12,2008-06-11,2008-06-12
n1,12,1,2008-06-12,2008-06-13
n1,1,21,2008-06-13,2008-06-16
n1,21,1,2008-06-16,2008-06-17
n1,1,5,2008-06-17,2008-06-18
n1,5,4,2008-06-18,2008-06-19
n1,4,5,2008-06-19,2008-06-20
n1,5,14,2008-06-20,2008-06-23
n1,14,5,2008-06-23,2008-06-24
n1,5,6,2008-06-24,2008-06-25
n1,6,1,2008-06-25,2008-06-26
n1,1,6,2008-06-26,2008-06-27
n1,6,5,2008-06-27,2008-06-30
n1,5,6,2008-06-30,2008-07-01
n1,6,10,2008-07-01,2008-07-02
n1,10,1,2008-07-02,2008-07-03
n1,1,20,2008-07-03,2008-07-04
n1,20,9,2008-07-04,2008-07-07
n1,9,3,2008-07-07,2008-07-08
n1,3,1,2008-07-08,2008-07-09
n1,1,13,2008-07-09,2008-07-10
n1,13,5,2008-07-10,2008-07-11
n1,5,2,2008-07-11,2008-07-14
n1,2,2,2008-07-14,2008-07-15
n1,2,3,2008-07-15,2008-07-16
n1,3,2,2008-07-16,2008-07-17
n1,2,9,2008-07-17,2008-07-18
n1,9,5,2008-07-18,2008-07-21
n1,5,5,2008-07-21,2008-07-22
n1,5,4,2008-07-22,2008-07-23
n1,4,1,2008-07-23,2008-07-24
n1,1,8,2008-07-24,2008-07-25
n1,8,15,2008-07-25,2008-07-28
n1,15,6,2008-07-28,2008-07-29
n1,6,6,2008-07-29,2008-07-30
n1,6,3,2008-07-30,2008-07-31
n1,3,1,2008-07-31,2008-08-01
n1,1,9,2008-08-01,2008-08-04
n1,9,3,2008-08-04,2008-08-05
n1,3,22,2008-08-05,2008-08-06
n1,22,8,2008-08-06,2008-08-07
n1,8,1,2008-08-07,2008-08-08
n1,1,4,2008-08-08,2008-08-11
n1,4,3,2008-08-11,2008-08-12
n1,3,3,2008-08-12,2008-08-13
n1,3,18,2008-08-13,2008-08-14
n1,18,4,2008-08-14,2008-08-15
n1,4,2,2008-08-15,2008-08-18
n1,2,8,2008-08-18,2008-08-19
n1,8,17,2008-08-19,2008-08-20
n1,17,12,2008-08-20,2008-08-21
n1,12,1,2008-08-21,2008-08-22
n1,1,11,2008-08-22,2008-08-25
n1,11,4,2008-08-25,2008-08-26
n1,4,1,2008-08-26,2008-08-27
n1,1,1,2008-08-27,2008-08-28
n1,1,11,2008-08-28,2008-08-29
n1,11,15,2008-08-29,2008-09-01
n1,15,4,2008-09-01,2008-09-02
n1,4,1,2008-09-02,2008-09-03
n1,1,3,2008-09-03,2008-09-04
n1,3,4,2008-09-04,2008-09-05
n1,4,1,2008-09-05,2008-09-08
n1,1,8,2008-09-08,2008-09-09
n1,8,2,2008-09-09,2008-09-10
n1,2,10,2008-09-10,2008-09-11
n1,10,3,2008-09-11,2008-09-12
n1,3,2,2008-09-12,2008-09-15
n1,2,4,2008-09-15,2008-09-16
n1,4,8,2008-09-16,2008-09-17
n1,8,15,2008-09-17,2008-09-18
n1,15,2,2008-09-18,2008-09-19
n1,2,10,2008-09-19,2008-09-22
n1,10,9,2008-09-22,2008-09-23
n1,9,6,2008-09-23,2008-09-24
n1,6,1,2008-09-24,2008-09-25
n1,1,5,2008-09-25,2008-09-26
n1,5,4,2008-09-26,2008-09-29
n1,4,2,2008-09-29,2008-09-30
n1,2,13,2008-09-30,2008-10-01
n1,13,3,2008-10-01,2008-10-02
n1,3,7,2008-10-02,2008-10-03
n1,7,5,2008-10-03,2008-10-06
n1,5,10,2008-10-06,2008-10-07
n1,10,2,2008-10-07,2008-10-08
n1,2,1,2008-10-08,2008-10-09
n1,1,1,2008-10-09,2008-10-10
n1,1,6,2008-10-10,2008-10-13
n1,6,2,2008-10-13,2008-10-14
n1,2,3,2008-10-14,2008-10-15
n1,3,10,2008-10-15,2008-10-16
n1,10,3,2008-10-16,2008-10-17
n1,3,3,2008-10-17,2008-10-20
n1,3,8,2008-10-20,2008-10-21
n1,8,9,2008-10-21,2008-10-22
n1,9,8,2008-10-22,2008-10-23
n1,8,5,2008-10-23,2008-10-24
n1,5,3,2008-10-24,2008-10-27
n1,3,3,2008-10-27,2008-10-28
n1,3,17,2008-10-28,2008-10-29
n1,17,5,2008-10-29,2008-10-30
n1,5,5,2008-10-30,2008-10-31
n1,5,11,2008-10-31,2008-11-03
n1,11,5,2008-11-03,2008-11-04
n1,5,1,2008-11-04,2008-11-05
n1,1,1,2008-11-05,2008-11-06
n1,1,3,2008-11-06,2008-11-07
n1,3,4,2008-11-07,2008-11-10
n1,4,8,2008-11-10,2008-11-11
n1,8,5,2008-11-11,2008-11-12
n1,5,8,2008-11-12,2008-11-13
n1,8,4,2008-11-13,2008-11-14
n1,4,17,2008-11-14,2008-11-17
n1,17,7,2008-11-17,2008-11-18
n1,7,29,2008-11-18,2008-11-19
n1,29,2,2008-11-19,2008-11-20
n1,2,5,2008-11-20,2008-11-21
n1,5,1,2008-11-21,2008-11-24
n1,1,5,2008-11-24,2008-11-25
n1,5,4,2008-11-25,2008-11-26
n1,4,8,2008-11-26,2008-11-27
n1,8,14,2008-11-27,2008-11-28
n1,14,5,2008-11-28,2008-12-01
n1,5,6,2008-12-01,2008-12-02
n1,6,8,2008-12-02,2008-12-03
n1,8,17,2008-12-03,2008-12-04
n1,17,5,2008-12-04,2008-12-05
n1,5,13,2008-12-05,2008-12-08
n1,13,2,2008-12-08,2008-12-09
n1,2,14,2008-12-09,2008-12-10
n1,14,1,2008-12-10,2008-12-11
n1,1,10,2008-12-11,2008-12-12
n1,10,2,2008-12-12,2008-12-15
n1,2,12,2008-12-15,2008-12-16
n1,12,5,2008-12-16,2008-12-17
n1,5,14,2008-12-17,2008-12-18
n1,14,8,2008-12-18,2008-12-19
n1,8,5,2008-12-19,2008-12-22
n1,5,3,2008-12-22,2008-12-23
n1,3,2,2008-12-23,2008-12-24
n1,2,8,2008-12-24,2008-12-25
n1,8,11,2008-12-25,2008-12-26
n1,11,9,2008-12-26,2008-12-29
n1,9,3,2008-12-29,2008-12-30
n1,3,8,2008-12-30,2008-12-31
n1,8,6,2008-12-31,2009-01-01
n1,6,12,2009-01-01,2009-01-02
n1,12,2,2009-01-02,2009-01-05
n1,2,2,2009-01-05,2009-01-06
n1,2,12,2009-01-06,2009-01-07
n1,12,27,2009-01-07,2009-01-08
n1,27,1,2009-01-08,2009-01-09
n1,1,10,2009-01-09,2009-01-12
n1,10,2,2009-01-12,2009-01-13
n1,2,4,2009-01-13,2009-01-14
n1,4,14,2009-01-14,2009-01-15
n1,14,8,2009-01-15,2009-01-16
n1,8,3,2009-01-16,2009-01-19
n1,3,5,2009-01-19,2009-01-20
n1,5,2,2009-01-20,2009-01-21
n1,2,4,2009-01-21,2009-01-22
n1,4,2,2009-01-22,2009-01-23
n1,2,2,2009-01-23,2009-01-26
n1,2,2,2009-01-26,2009-01-27
n1,2,5,2009-01-27,2009-01-28
n1,5,4,2009-01-28,2009-01-29
n1,4,16,2009-01-29,2009-01-30
n1,16,8,2009-01-30,2009-02-02
n1,8,5,2009-02-02,2009-02-03
n1,5,5,2009-02-03,2009-02-04
n1,5,4,2009-02-04,2009-02-05
n1,4,7,2009-02-05,2009-02-06
n1,7,6,2009-02-06,2009-02-09
n1,6,20,2009-02-09,2009-02-10
n1,20,5,2009-02-10,2009-02-11
n1,5,5,2009-02-11,2009-02-12
n1,5,4,2009-02-12,2009-02-13
n1,4,3,2009-02-13,2009-02-16
n1,3,1,2009-02-16,2009-02-17
n1,1,1,2009-02-17,2009-02-18
n1,1,7,2009-02-18,2009-02-19
n1,7,2,2009-02-19,2009-02-20
n1,2,15,2009-02-20,2009-02-23
n1,15,3,2009-02-23,2009-02-24
n1,3,16,2009-02-24,2009-02-25
n1,16,2,2009-02-25,2009-02-26
n1,2,1,2009-02-26,2009-02-27
n1,1,3,2009-02-27,2009-03-02
n1,3,1,2009-03-02,2009-03-03
n1,1,5,2009-03-03,2009-03-04
n1,5,1,2009-03-04,2009-03-05
n1,1,6,2009-03-05,2009-03-06
n1,6,10,2009-03-06,2009-03-09
n1,10,4,2009-03-09,2009-03-10
n1,4,12,2009-03-10,2009-03-11
n1,12,12,2009-03-11,2009-03-12
n1,12,3,2009-03-12,2009-03-13
n1,3,1,2009-03-13,2009-03-16
n1,1,5,2009-03-16,2009-03-17
n1,5,4,2009-03-17,2009-03-18
n1,4,2,2009-03-18,2009-03-19
n1,2,9,2009-03-19,2009-03-20
n1,9,5,2009-03-20,2009-03-23
n1,5,5,2009-03-23,2009-03-24
n1,5,14,2009-03-24,2009-03-25
n1,14,1,2009-03-25,2009-03-26
n1,1,3,2009-03-26,2009-03-27
n1,3,8,2009-03-27,2009-03-30
n1,8,20,2009-03-30,2009-03-31
n1,20,11,2009-03-31,2009-04-01
n1,11,13,2009-04-01,2009-04-02
n1,13,12,2009-04-02,2009-04-03
n1,12,16,2009-04-03,2009-04-06
n1,16,2,2009-04-06,2009-04-07
n1,2,3,2009-04-07,2009-04-08
n1,3,5,2009-04-08,2009-04-09
n1,5,1,2009-04-09,2009-04-10
n1,1,3,2009-04-10,2009-04-13
n1,3,3,2009-04-13,2009-04-14
n1,3,3,2009-04-14,2009-04-15
n1,3,4,2009-04-15,2009-04-16
n1,4,7,2009-04-16,2009-04-17
n1,7,1,2009-04-17,2009-04-20
n1,1,11,2009-04-20,2009-04-21
n1,11,2,2009-04-21,2009-04-22
n1,2,1,2009-04-22,2009-04-23
n1,1,11,2009-04-23,2009-04-24
n1,11,3,2009-04-24,2009-04-27
n1,3,2,2009-04-27,2009-04-28
n1,2,1,2009-04-28,2009-04-29
n1,1,15,2009-04-29,2009-04-30
n1,15,12,2009-04-30,2009-05-01
n1,12,12,2009-05-01,2009-05-04
n1,12,6,2009-05-04,2009-05-05
n1,6,5,2009-05-05,2009-05-06
n1,5,19,2009-05-06,2009-05-07
n1,19,1,2009-05-07,2009-05-08
n1,1,1,2009-05-08,2009-05-11
n1,1,1,2009-05-11,2009-05-12
n1,1,11,2009-05-12,2009-05-13
n1,11,9,2009-05-13,2009-05-14
n1,9,24,2009-05-14,2009-05-15
n1,24,3,2009-05-15,2009-05-18
n1,3,3,2009-05-18,2009-05-19
n1,3,9,2009-05-19,2009-05-20
n1,9,2,2009-05-20,2009-05-21
n1,2,3,2009-05-21,2009-05-22
n1,3,1,2009-05-22,2009-05-25
n1,1,1,2009-05-25,2009-05-26
n1,1,14,2009-05-26,2009-05-27
n1,14,9,2009-05-27,2009-05-28
n1,9,5,2009-05-28,2009-05-29
n1,5,1,2009-05-29,2009-06-01
n1,1,1,2009-06-01,2009-06-02
n1,1,8,2009-06-02,2009-06-03
n1,8,15,2009-06-03,2009-06-04
n1,15,2,2009-06-04,2009-06-05
n1,2,9,2009-06-05,2009-06-08
n1,9,6,2009-06-08,2009-06-09
n1,6,12,2009-06-09,2009-06-10
n1,12,14,2009-06-10,2009-06-11
n1,14,4,2009-06-11,2009-06-12
n1,4,7,2009-06-12,2009-06-15
n1,7,4,2009-06-15,2009-06-16
n1,4,7,2009-06-16,2009-06-17
n1,7,1,2009-06-17,2009-06-18
n1,1,6,2009-06-18,2009-06-19
n1,6,10,2009-06-19,2009-06-22
n1,10,17,2009-06-22,2009-06-23
n1,17,16,2009-06-23,2009-06-24
n1,16,2,2009-06-24,2009-06-25
n1,2,13,2009-06-25,2009-06-26
n1,13,3,2009-06-26,2009-06-29
n1,3,1,2009-06-29,2009-06-30
n1,1,9,2009-06-30,2009-07-01
n1,9,4,2009-07-01,2009-07-02
n1,4,2,2009-07-02,2009-07-03
n1,2,3,2009-07-03,2009-07-06
n1,3,1,2009-07-06,2009-07-07
n1,1,12,2009-07-07,2009-07-08
n1,12,6,2009-07-08,2009-07-09
n1,6,3,2009-07-09,2009-07-10
n1,3,14,2009-07-10,2009-07-13
n1,14,3,2009-07-13,2009-07-14
n1,3,2,2009-07-14,2009-07-15
n1,2,2,2009-07-15,2009-07-16
n1,2,1,2009-07-16,2009-07-17
